,file,video_dtype,video_shape,video_min,video_max,video_mean,video_std,ppg_dtype,ppg_shape,ppg_min,ppg_max,ppg_mean,ppg_std,landmarks_dtype,landmarks_shape,landmarks_min,landmarks_max,landmarks_mean,landmarks_std,face_square,video_duration,patient_id,fold
12,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_8.npz,uint8,"(600, 135, 177, 3)",0.0,250.0,72.68333916904977,65.84348563667751,float32,"(600,)",38.822224,201.0,95.326546,35.378307,int16,"(600, 68, 2)",0,177,81.03791666666666,39.759646240744324,23895,600,subject10,0
13,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_9.npz,uint8,"(600, 142, 213, 3)",0.0,254.0,63.151089087996944,66.2473574647848,float32,"(600,)",55.0,199.51111,94.39717,32.99948,int16,"(600, 68, 2)",0,213,85.46355392156863,50.73258003083746,30246,600,subject10,0
14,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_0.npz,uint8,"(600, 132, 183, 3)",0.0,255.0,82.89987336939522,63.87031450911403,float32,"(600,)",61.0,201.0,95.97358,26.647354,int16,"(600, 68, 2)",0,183,77.70998774509803,43.91093004817739,24156,600,subject11,0
15,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_1.npz,uint8,"(600, 141, 238, 3)",0.0,255.0,57.169837114514834,66.61658503822055,float32,"(600,)",62.31111,183.625,94.49675,27.809273,int16,"(600, 68, 2)",0,238,87.55574754901961,59.229659825083345,33558,600,subject11,0
16,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_10.npz,uint8,"(600, 145, 199, 3)",0.0,255.0,96.61502932285951,71.82619845290898,float32,"(600,)",65.833336,158.0,95.314125,21.40927,int16,"(600, 68, 2)",0,199,84.25787990196079,48.09020762103857,28855,600,subject11,0
18,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_12.npz,uint8,"(600, 132, 180, 3)",0.0,255.0,82.18992891881781,67.61607804300874,float32,"(600,)",10.018518,254.56522,99.8474,13.0530615,int16,"(600, 68, 2)",0,180,77.63025735294117,43.800994299781095,23760,600,subject11,0
19,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_13.npz,uint8,"(600, 133, 189, 3)",0.0,255.0,68.13199005008111,65.69234182768155,float32,"(600,)",8.0,254.01755,113.38767,33.091198,int16,"(600, 68, 2)",0,189,79.68378676470589,44.34346252271636,25137,600,subject11,0
20,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_14.npz,uint8,"(600, 128, 175, 3)",0.0,255.0,82.62058060515874,64.79104531933132,float32,"(600,)",6.4,254.1228,106.18203,18.861088,int16,"(600, 68, 2)",0,175,75.26453431372549,41.72438537980341,22400,600,subject11,0
21,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_15.npz,uint8,"(600, 133, 176, 3)",0.0,255.0,91.39463371971596,69.64785824192471,float32,"(600,)",3.1851852,254.9871,139.53844,53.46904,int16,"(600, 68, 2)",0,176,77.41546568627452,42.09046089160167,23408,600,subject11,0
22,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_16.npz,uint8,"(600, 127, 178, 3)",0.0,255.0,93.78355441524866,64.9892444037719,float32,"(600,)",9.359796,254.40741,97.110466,29.055864,int16,"(600, 68, 2)",0,178,75.33894607843138,43.280540252814816,22606,600,subject11,0
23,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_17.npz,uint8,"(600, 133, 218, 3)",0.0,255.0,73.11392673196754,71.5612276630279,float32,"(600,)",52.31111,195.46666,95.21554,32.39015,int16,"(600, 68, 2)",0,218,92.18730392156863,56.43926820638568,28994,600,subject11,0
24,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_18.npz,uint8,"(600, 133, 176, 3)",0.0,255.0,93.42831166457812,66.1207300501825,float32,"(600,)",52.0,183.07222,94.4958,27.849848,int16,"(600, 68, 2)",0,176,76.62068627450981,42.96424663304029,23408,600,subject11,0
26,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_2.npz,uint8,"(600, 137, 186, 3)",0.0,255.0,83.29467850944893,63.81613307299964,float32,"(600,)",64.0,182.35556,95.35032,27.964869,int16,"(600, 68, 2)",0,186,79.0880637254902,44.73955749204695,25482,600,subject11,0
28,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_4.npz,uint8,"(600, 142, 188, 3)",0.0,255.0,70.34669923500816,66.1300934406183,float32,"(600,)",43.333332,166.66667,94.851875,18.095892,int16,"(600, 68, 2)",0,188,82.76303921568628,45.49636083893631,26696,600,subject11,0
30,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_6.npz,uint8,"(600, 143, 196, 3)",0.0,255.0,72.93775924472354,66.03124916048483,float32,"(600,)",65.0,163.80952,95.304375,22.761873,int16,"(600, 68, 2)",0,196,84.176875,47.248447708074075,28028,600,subject11,0
32,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_8.npz,uint8,"(600, 137, 192, 3)",0.0,255.0,91.4251641913355,67.15969089084872,float32,"(600,)",63.0,146.0,94.88884,18.052284,int16,"(600, 68, 2)",0,192,80.22046568627451,46.68067233225095,26304,600,subject11,0
33,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject11__p11_9.npz,uint8,"(600, 142, 229, 3)",0.0,255.0,78.20833577642468,75.35830046817216,float32,"(600,)",68.0,151.39911,94.9231,19.513283,int16,"(600, 68, 2)",0,229,85.48394607843137,57.714736174424004,32518,600,subject11,0
34,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_0.npz,uint8,"(600, 133, 172, 3)",0.0,255.0,88.55008623788153,70.39246701046302,float32,"(600,)",73.739815,204.70372,96.54849,25.54562,int16,"(600, 68, 2)",0,172,73.98286764705882,39.68267174567055,22876,600,subject12,0
35,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_1.npz,uint8,"(600, 131, 186, 3)",0.0,255.0,73.40487995567594,70.11502597112028,float32,"(600,)",69.817375,196.635,94.6315,25.323738,int16,"(600, 68, 2)",0,186,79.99685049019608,42.452241359592975,24366,600,subject12,0
36,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_10.npz,uint8,"(600, 136, 174, 3)",0.0,255.0,79.53993003906544,68.60269012463003,float32,"(600,)",78.33467,177.26244,94.726204,21.186354,int16,"(600, 68, 2)",0,174,77.42401960784314,39.38277730872513,23664,600,subject12,0
38,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_12.npz,uint8,"(600, 128, 169, 3)",0.0,255.0,77.94462683883958,67.8349070403796,float32,"(600,)",42.666668,254.91112,167.85672,68.35106,int16,"(600, 68, 2)",0,169,71.394375,36.830045814958254,21632,600,subject12,0
39,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_13.npz,uint8,"(600, 134, 172, 3)",0.0,255.0,66.13558973543137,62.81562970637947,float32,"(600,)",36.980843,254.99727,179.80249,65.43181,int16,"(600, 68, 2)",0,172,74.85953431372549,38.823016277981175,23048,600,subject12,0
40,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_14.npz,uint8,"(600, 137, 181, 3)",0.0,255.0,81.66952263490656,69.47034747026616,float32,"(600,)",12.166667,254.99554,175.56299,67.8567,int16,"(600, 68, 2)",0,181,75.5785294117647,39.986011767280026,24797,600,subject12,0
41,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_15.npz,uint8,"(600, 134, 170, 3)",0.0,255.0,85.93386420836991,67.72094886805554,float32,"(600,)",53.055588,254.99568,177.36269,67.69922,int16,"(600, 68, 2)",0,170,72.2772181372549,38.103335703991114,22780,600,subject12,0
42,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_16.npz,uint8,"(600, 127, 169, 3)",0.0,255.0,89.26465177799521,67.70792263700068,float32,"(600,)",42.0,242.0,94.12745,31.604546,int16,"(600, 68, 2)",0,169,73.31123774509804,38.41452992042468,21463,600,subject12,0
43,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_17.npz,uint8,"(600, 131, 211, 3)",0.0,254.0,69.41151441698925,69.92990175687027,float32,"(600,)",55.0,213.0,94.27426,34.94731,int16,"(600, 68, 2)",0,211,82.09604166666666,45.68148066238733,27641,600,subject12,0
44,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_18.npz,uint8,"(600, 127, 177, 3)",0.0,255.0,85.31189050521228,69.30622663081395,float32,"(600,)",52.0,231.13333,95.895706,35.61387,int16,"(600, 68, 2)",0,177,75.66403186274509,39.850558222022784,22479,600,subject12,0
45,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_19.npz,uint8,"(600, 157, 240, 3)",0.0,255.0,57.65185816230243,68.0409042841624,float32,"(600,)",3.5627873,223.78859,95.72857,39.410908,int16,"(600, 68, 2)",0,245,96.85335784313726,46.53891941791982,37680,600,subject12,0
46,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_2.npz,uint8,"(600, 127, 162, 3)",0.0,255.0,84.85433937655941,66.77238304002367,float32,"(600,)",72.0,201.60973,95.26049,27.776548,int16,"(600, 68, 2)",0,162,69.3572181372549,37.80306432239588,20574,600,subject12,0
48,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_4.npz,uint8,"(600, 131, 174, 3)",0.0,255.0,67.31294263597633,63.972142271291105,float32,"(600,)",8.666667,231.8125,94.40316,36.243362,int16,"(600, 68, 2)",0,174,74.9361887254902,38.51691103235287,22794,600,subject12,0
49,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_5.npz,uint8,"(600, 122, 181, 3)",0.0,255.0,59.769272912075195,63.47327548905076,float32,"(600,)",53.0,242.0228,95.510666,39.323383,int16,"(600, 68, 2)",0,181,72.89781862745097,41.30644800999473,22082,600,subject12,0
50,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_6.npz,uint8,"(600, 122, 153, 3)",0.0,255.0,71.177773878829,63.673394795568676,float32,"(600,)",67.538445,220.83842,95.68291,30.020395,int16,"(600, 68, 2)",0,153,68.57796568627451,35.459517096603456,18666,600,subject12,0
51,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_7.npz,uint8,"(600, 156, 227, 3)",0.0,255.0,51.986246281863025,65.988664284325,float32,"(600,)",40.0,207.44444,97.03615,31.489222,int16,"(600, 68, 2)",0,227,94.5560661764706,44.04427299927694,35412,600,subject12,0
52,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_8.npz,uint8,"(600, 127, 172, 3)",0.0,255.0,85.14709872021811,67.69794171865288,float32,"(600,)",1.0,161.55556,100.03348,13.422231,int16,"(600, 68, 2)",0,172,72.63497549019608,39.084133951196684,21844,600,subject12,0
53,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject12__p12_9.npz,uint8,"(600, 113, 183, 3)",0.0,255.0,68.7761743798056,72.79579483927286,float32,"(600,)",63.117546,245.37839,94.69577,35.67664,int16,"(600, 68, 2)",0,183,76.52984068627451,43.90986134410963,20679,600,subject12,0
54,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_0.npz,uint8,"(600, 126, 153, 3)",0.0,255.0,82.53935412848267,65.94261735116336,float32,"(600,)",73.022224,254.0,97.70784,17.71255,int16,"(600, 68, 2)",0,153,64.50651960784313,34.96755858754147,19278,600,subject13,4
55,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_1.npz,uint8,"(600, 128, 240, 3)",0.0,255.0,50.85747108289931,67.34559012734212,float32,"(600,)",67.15268,150.82045,94.90341,20.613504,int16,"(600, 68, 2)",0,252,94.8447181372549,61.867649635060744,30720,600,subject13,4
56,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_10.npz,uint8,"(600, 124, 137, 3)",0.0,255.0,106.49825952306203,74.18126187896297,float32,"(600,)",37.877823,166.79007,93.80272,23.681093,int16,"(600, 68, 2)",0,137,60.997058823529414,33.74322504514826,16988,600,subject13,4
57,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_11.npz,uint8,"(600, 223, 224, 3)",0.0,255.0,35.69598356644601,62.10396526868991,float32,"(600,)",48.0,164.70189,96.4888,20.317743,int16,"(600, 68, 2)",0,224,127.33822303921569,42.592308402782116,49952,600,subject13,4
58,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_12.npz,uint8,"(600, 126, 171, 3)",0.0,255.0,69.51720662252339,69.50343657787627,float32,"(600,)",12.367042,254.99986,148.51532,58.339863,int16,"(600, 68, 2)",0,171,64.42806372549019,33.61452033174345,21546,600,subject13,4
59,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_13.npz,uint8,"(600, 146, 156, 3)",0.0,255.0,67.38396308980214,66.83110451433393,float32,"(600,)",76.77135,254.99962,174.07541,63.624596,int16,"(600, 68, 2)",0,156,70.26261029411765,36.960814160167565,22776,600,subject13,4
60,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_14.npz,uint8,"(600, 138, 155, 3)",0.0,255.0,83.08775593475663,67.8494725107022,float32,"(600,)",44.857143,254.99026,151.5485,58.115246,int16,"(600, 68, 2)",0,155,70.83863970588236,36.501247018888456,21390,600,subject13,4
61,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_15.npz,uint8,"(600, 135, 150, 3)",0.0,255.0,90.12445563786008,71.53215216856618,float32,"(600,)",29.191748,254.1322,165.35883,64.90582,int16,"(600, 68, 2)",0,150,67.4511887254902,35.266832232208984,20250,600,subject13,4
62,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_16.npz,uint8,"(600, 91, 109, 3)",0.0,255.0,99.24629650166348,66.37719313807926,float32,"(600,)",0.98832685,207.42223,94.872215,40.477863,int16,"(600, 68, 2)",0,109,47.244644607843135,26.005491303519374,9919,600,subject13,4
63,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_17.npz,uint8,"(600, 98, 201, 3)",0.0,255.0,50.23836218567029,72.11952065033606,float32,"(600,)",43.1875,211.25,95.00659,40.816967,int16,"(600, 68, 2)",0,201,74.0526838235294,53.329751623631886,19698,600,subject13,4
64,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_18.npz,uint8,"(600, 96, 112, 3)",0.0,255.0,102.71870794064154,69.45150097385392,float32,"(600,)",44.0,198.70773,94.69185,33.981525,int16,"(600, 68, 2)",0,112,49.34355392156863,27.119350141098955,10752,600,subject13,4
65,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_19.npz,uint8,"(600, 214, 215, 3)",0.0,255.0,35.59724918495979,60.770403866511984,float32,"(600,)",24.577778,175.26666,94.880104,24.762238,int16,"(600, 68, 2)",0,225,120.75723039215686,41.290509332735574,46010,600,subject13,4
66,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_2.npz,uint8,"(600, 131, 146, 3)",0.0,255.0,85.2508417860504,66.8782626377881,float32,"(600,)",63.0,151.06882,94.90877,20.845047,int16,"(600, 68, 2)",0,146,64.5590318627451,35.2450312246066,19126,600,subject13,4
67,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_3.npz,uint8,"(600, 193, 203, 3)",0.0,255.0,43.99500857885886,63.69560246486536,float32,"(600,)",36.0,147.0,95.65437,18.00627,int16,"(600, 68, 2)",0,213,104.4661274509804,38.61261991080006,39179,600,subject13,4
68,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_4.npz,uint8,"(600, 130, 140, 3)",0.0,255.0,62.01322557997558,65.2705463138595,float32,"(600,)",39.8,194.61905,94.578995,26.44688,int16,"(600, 68, 2)",0,140,66.25450980392156,32.318460991175606,18200,600,subject13,4
69,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_5.npz,uint8,"(600, 124, 231, 3)",0.0,255.0,43.34793247373892,64.05633603666405,float32,"(600,)",53.0,202.76454,94.342354,37.09347,int16,"(600, 68, 2)",0,231,93.92628676470588,61.48990607572986,28644,600,subject13,4
70,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_6.npz,uint8,"(600, 128, 142, 3)",0.0,255.0,74.74522939285016,66.58944583718029,float32,"(600,)",45.261906,187.5238,95.48054,31.654879,int16,"(600, 68, 2)",0,142,64.2532475490196,34.79953861386296,18176,600,subject13,4
71,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_7.npz,uint8,"(600, 198, 216, 3)",0.0,255.0,41.07855364343018,64.74375858921547,float32,"(600,)",62.190475,179.0,94.69833,16.019331,int16,"(600, 68, 2)",0,216,112.66654411764706,39.10549843890136,42768,600,subject13,4
72,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_8.npz,uint8,"(600, 131, 142, 3)",0.0,255.0,88.19549295774648,72.74263750119783,float32,"(600,)",3.5281723,175.27924,94.91609,27.281397,int16,"(600, 68, 2)",0,142,66.33147058823529,33.1723149658011,18602,600,subject13,4
73,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject13__p13_9.npz,uint8,"(600, 122, 229, 3)",0.0,255.0,56.98942923218873,76.11267952662323,float32,"(600,)",25.0,184.44444,95.344284,33.919975,int16,"(600, 68, 2)",0,229,90.32158088235295,61.009925702835574,27938,600,subject13,4
74,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_0.npz,uint8,"(600, 105, 130, 3)",0.0,255.0,81.41249344729344,53.3919583635805,float32,"(600,)",85.333336,111.0,94.900826,5.1418047,int16,"(600, 68, 2)",0,130,58.07855392156863,32.227473221799414,13650,600,subject14,1
75,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_1.npz,uint8,"(600, 109, 161, 3)",0.0,255.0,60.50131910017031,59.25388480904324,float32,"(600,)",83.0,115.0,95.02996,7.340307,int16,"(600, 68, 2)",0,161,67.04892156862745,39.68824230510036,17549,600,subject14,1
76,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_10.npz,uint8,"(600, 98, 118, 3)",0.0,254.0,81.68767607325417,56.336435577409574,float32,"(600,)",78.0,126.28889,95.51397,10.616348,int16,"(600, 68, 2)",0,118,52.86305147058823,29.00266861457681,11564,600,subject14,1
77,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_11.npz,uint8,"(600, 204, 197, 3)",0.0,255.0,38.51265065304182,48.23311012954399,float32,"(600,)",65.17778,150.0,97.44601,15.692016,int16,"(600, 68, 2)",0,204,105.10321078431373,41.54758415954875,40188,600,subject14,1
78,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_12.npz,uint8,"(600, 92, 118, 3)",0.0,255.0,85.79567550970278,61.84631613543721,float32,"(600,)",19.237268,254.97931,135.20474,49.259712,int16,"(600, 68, 2)",0,118,50.76637254901961,27.481533935168805,10856,600,subject14,1
79,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_13.npz,uint8,"(600, 91, 114, 3)",0.0,255.0,78.24007181415077,57.230914420758836,float32,"(600,)",7.888889,254.99765,166.23006,63.23446,int16,"(600, 68, 2)",0,114,48.183088235294115,27.66405447635335,10374,600,subject14,1
80,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_14.npz,uint8,"(600, 90, 115, 3)",0.0,251.0,79.77494771873323,53.00984076492452,float32,"(600,)",4.5238094,254.0,142.56883,54.266575,int16,"(600, 68, 2)",0,115,49.33354166666667,27.837489488727762,10350,600,subject14,1
81,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_15.npz,uint8,"(600, 92, 116, 3)",0.0,248.0,85.97921539230384,55.45086460991319,float32,"(600,)",46.20092,254.99403,161.13469,61.981754,int16,"(600, 68, 2)",0,116,49.37718137254902,27.907794854197398,10672,600,subject14,1
82,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_16.npz,uint8,"(600, 92, 116, 3)",0.0,251.0,91.05240051849076,57.08959157312316,float32,"(600,)",12.466666,254.99297,139.35495,53.650417,int16,"(600, 68, 2)",0,116,49.96878676470588,27.960656335192255,10672,600,subject14,1
83,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_17.npz,uint8,"(600, 101, 180, 3)",0.0,252.0,54.75719294707248,64.08762051746753,float32,"(600,)",73.42593,139.84445,95.13626,14.807948,int16,"(600, 68, 2)",0,180,68.94882352941177,46.941706951889735,18180,600,subject14,1
84,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_18.npz,uint8,"(600, 97, 118, 3)",0.0,252.0,87.55263735997049,56.36922080021575,float32,"(600,)",75.395836,135.62222,94.88644,13.674135,int16,"(600, 68, 2)",0,118,50.9459068627451,28.64186382113057,11446,600,subject14,1
86,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_2.npz,uint8,"(600, 117, 157, 3)",0.0,255.0,60.2779574282759,58.99837068520693,float32,"(600,)",83.0,113.97078,95.37756,5.5972776,int16,"(600, 68, 2)",0,157,70.63381127450981,36.4857588580089,18369,600,subject14,1
88,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_4.npz,uint8,"(600, 94, 119, 3)",0.0,255.0,66.54480193495839,59.37666612401536,float32,"(600,)",32.666668,137.0,94.71849,13.251348,int16,"(600, 68, 2)",0,119,51.152671568627454,27.388647555539222,11186,600,subject14,1
89,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_5.npz,uint8,"(600, 96, 154, 3)",0.0,255.0,49.2961234743266,58.99162141248791,float32,"(600,)",68.64445,134.88889,94.99736,13.965107,int16,"(600, 68, 2)",0,154,62.012867647058826,38.317745416913866,14784,600,subject14,1
90,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_6.npz,uint8,"(600, 90, 111, 3)",0.0,254.0,73.01265765765766,55.00841814374653,float32,"(600,)",79.0,125.82222,94.974724,10.310424,int16,"(600, 68, 2)",0,111,49.26731617647059,27.555236867544853,9990,600,subject14,1
92,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_8.npz,uint8,"(600, 104, 129, 3)",0.0,255.0,77.91287475982243,65.74759196060407,float32,"(600,)",81.21429,118.958336,95.07523,8.269731,int16,"(600, 68, 2)",0,129,54.64605392156863,29.2933676595954,13416,600,subject14,1
93,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject14__p14_9.npz,uint8,"(600, 99, 164, 3)",0.0,255.0,66.1566339889409,70.92318775078725,float32,"(600,)",72.666664,127.82222,94.98918,11.364964,int16,"(600, 68, 2)",0,164,65.07083333333334,41.71051505282837,16236,600,subject14,1
94,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject15__p15_0.npz,uint8,"(600, 102, 127, 3)",0.0,255.0,59.88641007496612,59.90485165506834,float32,"(600,)",35.714287,188.0,93.237915,31.196478,int16,"(600, 68, 2)",0,127,50.5194362745098,26.05654371305697,12954,600,subject15,2
95,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject15__p15_1.npz,uint8,"(600, 93, 136, 3)",0.0,245.0,60.602492401082294,60.274278655335344,float32,"(600,)",68.0,198.77777,96.326355,27.501495,int16,"(600, 68, 2)",0,136,55.76628676470588,31.79160425588593,12648,600,subject15,2
96,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject15__p15_10.npz,uint8,"(600, 99, 119, 3)",0.0,255.0,87.50391859774213,62.379232208835376,float32,"(600,)",22.244444,188.75,96.165596,28.883127,int16,"(600, 68, 2)",0,119,53.45870098039216,28.15817516645397,11781,600,subject15,2
97,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject15__p15_11.npz,uint8,"(600, 128, 181, 3)",0.0,255.0,42.0218002081415,55.20076979922463,float32,"(600,)",0.037777778,254.89159,88.914986,52.583443,int16,"(600, 68, 2)",0,181,79.91642156862746,35.16036754669039,23168,600,subject15,2
98,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject15__p15_12.npz,uint8,"(600, 93, 115, 3)",0.0,255.0,78.44697626097346,57.44447330914359,float32,"(600,)",1.3333334,253.16667,123.29415,40.934635,int16,"(600, 68, 2)",0,115,50.77015931372549,26.940357677438968,10695,600,subject15,2
